mot	docs
Vitagora,	['67388', '67555', '67795', '68279', '68643', '69534', '69812', '70166', '70745', '71359', '72394', '72631', '73685', '73879', '74169', '74449', '74749', '74749', '75063', '75459', '75462', '76209', '76509', '76511']
principal	['67388', '67795', '67800', '67804', '67938', '67939', '68273', '68276', '68383', '68389', '68642', '68642', '68643', '69177', '69178', '69535', '69815', '69818', '69821', '71360', '71363', '71619', '71619', '71619', '72114', '72393', '72395', '72629', '74453', '74455', '74455', '75466', '75796', '76213']
objectif	['67388', '67553', '67554', '67555', '67794', '67798', '67799', '67803', '67937', '67937', '67939', '67941', '67942', '68273', '68275', '68279', '68283', '68386', '68387', '68639', '68883', '68884', '69179', '69536', '69538', '69812', '69814', '70161', '70161', '70164', '70420', '70421', '70422', '70422', '71361', '71612', '71614', '71615', '71615', '71615', '71837', '71840', '71842', '72117', '72118', '72122', '72396', '72398', '72630', '72933', '72935', '73185', '73187', '73431', '73432', '73433', '73684', '73690', '73876', '73876', '73878', '73879', '73880', '73884', '73884', '74169', '74172', '74174', '74175', '74449', '74450', '74450', '74450', '74452', '75067', '75464', '75794', '76207', '76208', '76211', '76512', '76514']
quel	['67388', '67390', '67554', '67794', '68643', '68645', '68881', '68882', '69539', '69540', '69816', '70161', '70422', '70425', '70915', '71358', '71366', '71835', '72392', '72932', '72932', '73182', '73183', '73684', '73684', '74168', '74175', '74450', '75064', '75463', '75463', '76206', '76209', '76209', '76209', '76210', '76213']
support	['67388', '68275', '70425', '72114', '72632', '73434']
enzymatique	['67388', '67388', '67388']
fromage	['67388', '67388', '68273', '68387', '68885']
produits.	['67388', '67798', '67937']
confirmer	['67388', '67388', '67794', '67801', '68643', '69533', '69533', '69811', '70424', '70918', '73683', '76511', '76511']
coagulants.	['67388', '67388', '67388']
"Dans	['67388', '67937', '69812', '72629', '73683', '75792']
fromage,	['67388', '67388']
coagulation,	['67388']
caillage,	['67388']
consister	['67388', '67388', '67390', '67800', '67802', '67937', '68391', '68643', '69813', '70161', '70424', '70916', '70918', '70920', '71357', '72397', '72630', '72630', '73431', '73436', '73436', '73875', '73880', '74168', '74450', '75462', '76211', '76508', '76508']
cuve	['67388']
dose	['67388', '67388', '67388', '69179', '72116', '72935', '72935', '73187', '73683']
préparation	['67388', '67388', '67388', '67942', '69179', '71363', '71838', '71843', '76511']
coagulant	['67388', '67388']
dix	['67388', '67801', '68385', '68882', '68885', '69535', '69535', '69535', '69535', '69811', '71357', '71359', '71614', '71614', '72629', '72631', '73683', '73684', '73684', '74168', '74744', '74745', '75068', '76208', '76210', '76210']
cent	['67388']
millilitre	['67388']
100	['67388', '67941', '68883', '70167', '70425', '70916', '70917', '71836', '71836', '72392', '73190', '73432', '73688', '73878', '74451', '75065', '75789', '75792', '75792']
litre	['67388', '75792', '75792']
lait.	['67388', '67388']
faible	['67388', '67388', '67558', '67796', '67942', '67942', '68383', '68644', '68883', '68886', '68887', '69535', '70163', '71357', '71617', '72934', '73436', '75463', '75794', '76210', '76213', '76508']
doses,	['67388']
parfois	['67388', '67937', '67937', '68643', '72113', '72629', '72932', '72932', '72933', '72940', '73434', '75460', '76210', '76211', '76511']
qualifiable	['67388']
d'homéopathiques",	['67388']
Eric	['67388', '67388', '67388', '67800', '68885', '68885', '68885', '68885', '73685', '73685', '73685', '73685', '74175', '74749', '74749', '74749', '75459', '76210']
Notz,	['67388', '68885']
déléguer	['67388', '74456', '74746']
régional	['67388', '67391', '67553', '67798', '67804', '67804', '68277', '68385', '68885', '68885', '69182', '69535', '69817', '70420', '70916', '71617', '72395', '72396', '72938', '72938', '72938', '73434', '73687', '73879', '74172', '74176', '74455', '74748', '74748', '74749', '75066', '76508']
d'Actilait	['67388', '68885', '68885']
coordinateur	['67388', '67388', '67555', '69181', '70422', '70422', '70422', '72118', '74449', '75069']
coag	['67388', '67388', '67388', '68885']
l'Unité	['67388', '67389', '67556', '67556', '67802', '68384', '68387', '68388', '68882', '68885', '69180', '69184', '69812', '69812', '70420', '70425', '70745', '70916', '71618', '71837', '72631', '74170', '75459', '75793', '76515']
technologique	['67388', '67553', '67553', '67554', '67797', '67799', '67940', '68273', '68273', '68276', '68383', '68638', '68639', '68883', '68885', '69179', '69533', '69533', '69534', '69820', '70161', '70161', '70161', '70168', '70914', '71358', '71360', '71362', '71363', '71837', '71839', '72116', '72395', '72400', '72933', '73182', '73182', '73190', '73883', '73883', '74167', '74168', '74168', '74170', '74171', '74451', '74451', '74453', '74455', '75068', '75068', '75068', '75068', '75071', '75071', '75457', '75457', '75457', '75457', '75457', '75457', '75790', '75792', '75792', '75796', '76207', '76213', '76510', '76514', '76514', '76514', '76514']
(UMT)	['67388', '68885']
Poligny	['67388', '67388', '68885']
[1].	['67388', '69534', '72121']
S'il	['67388', '73187']
différents	['67388', '67388', '67389', '67390', '67554', '67554', '67554', '67555', '67555', '67794', '67795', '67803', '68279', '68390', '68640', '69177', '69178', '69178', '69182', '69184', '69534', '69534', '69537', '69539', '69541', '69813', '69816', '69819', '70161', '70161', '70161', '70162', '70162', '70166', '70420', '70420', '70420', '70422', '70423', '70424', '70745', '71357', '71614', '71617', '72122', '72394', '72398', '72400', '72631', '72631', '72634', '72932', '72939', '72939', '73182', '73185', '73185', '73185', '73189', '73685', '73691', '73876', '73877', '74168', '74173', '74450', '74751', '75457', '75788', '75789', '75792', '75794', '76509', '76511']
coagulantes,	['67388', '67388']
utilisée.	['67388', '75794']
Rappelons	['67388', '67389', '67554', '67555', '67558', '67796', '67799', '67800', '67801', '67802', '67937', '67942', '67943', '67944', '67945', '68275', '68279', '68383', '68388', '68388', '68392', '68644', '68644', '68646', '68646', '68889', '69177', '69177', '69179', '69185', '69186', '69533', '69536', '69539', '69541', '69542', '69811', '69811', '69811', '69815', '69818', '70165', '70169', '70425', '70428', '70743', '70748', '70916', '70916', '70917', '71360', '71615', '71620', '71836', '71840', '71840', '72113', '72121', '72122', '72393', '72399', '72935', '72936', '72938', '73186', '73190', '73435', '73437', '73683', '73687', '73687', '73876', '73880', '73880', '73882', '74170', '74453', '74453', '75065', '75065', '75067', '75071', '75460', '75462', '75795', '75795', '75796', '76208', '76210', '76212']
extraire	['67388', '72630', '72630', '72630', '73432', '76213']
caillette,	['67388']
c'est-à-dire	['67388', '67390', '67390', '67391', '67554', '67794', '67802', '67941', '68273', '68387', '68390', '68638', '68643', '68881', '68883', '69539', '69817', '70161', '70163', '70165', '71614', '72114', '72631', '73431', '73435', '74168', '74745', '75069', '75457', '75792', '75794', '76209', '76210']
quatrième	['67388', '67794', '68639', '68882', '69179', '69534', '69543', '71357', '71614', '71617', '75067']
l'estomac	['67388', '70918']
jeune	['67388', '67553', '67555', '67937', '68279', '68643', '69177', '69815', '70161', '70166', '70166', '70422', '70422', '70422', '70426', '70917', '71357', '71612', '71612', '71837', '71837', '72113', '72113', '72629', '72629', '72636', '72636', '73182', '73185', '73185', '73185', '73185', '73431', '73431', '73435', '73683', '73686', '73878', '73879', '73881', '74171', '74450', '74450', '74450', '74450', '74451', '74453', '74747', '75461', '75462', '75466', '76207', '76208', '76208']
ruminant	['67388']
abattu	['67388']
sevrage,	['67388', '68887']
contenir	['67388', '67388', '67391', '67391', '68388', '68391', '73879', '74750']
active	['67388', '67391', '67938', '68392', '72115', '72115', '72115', '73691', '73877']
chymosine,	['67388']
majoritaire,	['67388']
pepsine	['67388', '67388']
augmenter	['67388', '67391', '67558', '67939', '68388', '68646', '68882', '68886', '69538', '69539', '69816', '70421', '70421', '70422', '70422', '71618', '71837', '75792']
veau.	['67388']
en	['67388', '67390', '67553', '67558', '67798', '67798', '67800', '67802', '67938', '67938', '67939', '67941', '67944', '68274', '68276', '68276', '68280', '68280', '68390', '68392', '68392', '68645', '68881', '68882', '68882', '68886', '69178', '69540', '69542', '69812', '69817', '69819', '69819', '69821', '70161', '70163', '70165', '70167', '70168', '70168', '70170', '70421', '70421', '70425', '70429', '70744', '70751', '70753', '70914', '70917', '70918', '70923', '70923', '71358', '71359', '71362', '71614', '71615', '71617', '71617', '71835', '71836', '71836', '71836', '71837', '71838', '71840', '71841', '71841', '72114', '72115', '72117', '72119', '72398', '72629', '72630', '72630', '72631', '72633', '72933', '72939', '72940', '73183', '73185', '73190', '73434', '73434', '73435', '73685', '73688', '73875', '73875', '74168', '74170', '74171', '74749', '75063', '75067', '75069', '75457', '75458', '75462', '75462', '75465', '75789', '75789', '75792', '75793', '75793', '75794', '75794', '75795', '76206', '76213', '76509', '76510', '76512', '76512']
fromagerie	['67388']
renfermer	['67388', '67554', '67554', '69534', '70420', '71612', '72115', '72634', '73431', '73878', '73879', '74167', '75462']
éléments,	['67388']
spécialiste	['67388', '67557', '67937', '67938', '68638', '68645', '69533', '69813', '69820', '71359', '71359', '71841', '72115', '73182', '73879', '74746', '75065', '75462', '75464', '75794', '75794', '76511']
"support"	['67388']
varie	['67388', '68274', '70744']
fabricant	['67388', '67388', '67554', '67554', '67554', '67558', '68274', '68274', '71839', '75795']
autre.	['67388', '67390']
"Or	['67388', '68638', '68643', '68643', '69177', '72932', '74169', '74455']
estime	['67388', '67388', '67389', '67391', '68273', '68274', '69177', '69811', '70161', '70421', '70744', '71357', '71358', '71614', '71621', '72115', '72116', '72395', '72631', '72637', '73188', '73430', '73684', '74454', '74454', '74746', '75792', '76213', '76213', '76213', '76508']
support,	['67388']
NaCl,	['67388']
phosphate,	['67388']
fraction	['67388', '73875']
azoter	['67388']
conservateurs,	['67388']
contribuer	['67388', '67553', '67798', '67937', '68276', '68383', '68885', '68885', '69179', '69179', '69184', '69538', '69814', '69818', '71363', '71840', '71842', '72398', '73431', '73880', '74453', '74746', '74746']
l'élaboration	['67388', '67798', '68390', '69819', '71357', '72392', '74169']
sensoriel	['67388', '67555', '69534', '69534', '73685', '73685', '75790', '75790', '76512']
affinés",	['67388']
COAG.	['67388']
enquête	['67388']
brosser	['67388']
panorama	['67388', '68882', '73690', '74167', '76514']
général	['67388', '67553', '67553', '67556', '67556', '67795', '67937', '67941', '68273', '68275', '68277', '68279', '68279', '68279', '68638', '68638', '68646', '69177', '69537', '69813', '70161', '70162', '70164', '70165', '70914', '71358', '71358', '71360', '71366', '71614', '71616', '72113', '72113', '72113', '72114', '72392', '72392', '72398', '72629', '72629', '72632', '72933', '72933', '73182', '73182', '73183', '73687', '73879', '74169', '74171', '74172', '74172', '74172', '74449', '74450', '74453', '74453', '74454', '74746', '75065', '75065', '75065', '75457', '75457', '75457', '76210', '76211', '76508', '76511']
disponible	['67388', '68279', '68646', '68881', '69184', '69535', '70743', '71612', '72630', '73684', '74451', '76508']
marché.	['67388', '69177', '71357', '72115', '73436', '74451', '74451', '76508']
occasion,	['67388', '67801', '68638', '69177', '70164', '70917', '71837', '72933', '74746']
chimique	['67388', '67558', '67800', '68388', '68390', '68390', '68881', '70162', '70914', '72118', '75792', '76206', '76511']
ensemble	['67388', '67553', '67939', '68275', '68644', '68881', '68881', '69177', '69533', '70170', '70424', '71357', '71359', '72392', '73434', '73683', '73685', '73685', '74171', '74172', '74175', '75788', '75788']
d'échantillons	['67388', '68885']
représentatif	['67388', '69537']
analysée.	['67388']
"Les	['67388', '67555', '67796', '67938', '69533', '69534', '69812', '70162', '70166', '70421', '71614', '72394', '72629', '72932', '72932', '73183', '73683', '73878', '74167', '74455', '74456', '75064', '75789', '76515', '76516', '76516']
visible	['67388', '67553', '67939', '69539', '70424', '71359', '73182', '75067']
minéral	['67388', '67388', '68280', '68642', '68642', '71612']
protéique	['67388', '67388']
coagulantes.	['67388']
dépendre	['67388', '67553', '72113', '72116', '72392', '75795']
d'enzyme	['67388']
",	['67388', '67938', '68273', '68273', '68279', '68279', '70421', '70745', '70914', '70914', '70914', '70915', '70915', '70915', '70916', '70916', '70916', '70921', '70921', '70923', '70923', '72113']
indique	['67388', '67799', '68273', '68273', '68274', '68279', '68279', '68638', '68881', '68885', '69813', '70420', '70421', '70421', '70745', '70916', '70916', '70923', '71835', '71836', '71842', '72113', '72116', '72630', '73182', '73432', '73876', '74449', '74449', '74455', '75064', '75065', '75457', '75788', '75789', '75793', '76213', '76508', '76509']
Notz.	['67388', '67388', '68885', '68885', '68885']
sembler	['67388', '67555', '68383', '68387', '68389', '68638', '68881', '69814', '69816', '69816', '69821', '70161', '70421', '70424', '70744', '70745', '72116', '72631', '72635', '72932', '72932', '73685', '73876', '75070', '75792', '75793', '76209']
qu'en	['67388', '67939', '68383', '68390', '68881', '69177', '69534', '69542', '69821', '70165', '70916', '71614', '72392', '72393', '72634', '73182', '73190', '73684', '73684', '74170', '75065', '75790', '75795', '76206', '76209', '76213', '76508', '76511']
d'enzyme,	['67388']
d'extraction	['67388', '69541', '72630', '75792', '75792', '75792']
modulent	['67388']
précison	['67388', '67556', '67557', '67802', '67802', '67939', '67940', '67941', '67944', '68275', '68388', '68393', '68884', '69181', '69182', '69533', '69537', '69541', '69815', '70162', '70426', '70743', '70747', '70920', '70923', '71361', '72117', '72633', '72935', '72935', '73437', '73686', '73876', '73880', '73883', '74176', '74451', '74452', '74454', '74750', '75068', '75071', '75795', '76208', '76209', '76210', '76508', '76510']
identique	['67388', '68389', '69540', '72392']
dit	['67388', '67802', '68642', '69178', '69814', '72114']
"traditionnels"	['67388']
fromagerie.	['67388']
Importants,	['67388']
l'objet	['67388', '67391', '67555', '67937', '67942', '68279', '68383', '68390', '68391', '68882', '70163', '70165', '70421', '70421', '70917', '71843', '72115', '72117', '72392', '72634', '73435', '73436', '73877', '74173', '74175', '75065']
prochain	['67388', '67389', '67794', '67794', '67794', '67944', '68389', '69533', '69534', '69811', '70420', '70429', '70744', '71363', '71612', '71614', '71616', '71835', '71837', '71840', '71842', '72119', '72392', '72932', '72939', '73430', '73431', '73431', '73432', '73434', '73683', '73687', '73875', '73876', '73880', '74167', '74168', '74170', '74171', '74745', '75457', '75457', '75457', '75459', '75462', '75793', '76209', '76209', '76209', '76508', '76508', '76509', '76512', '76513']
mois.	['67388', '68273', '68273', '71359', '71614', '71842', '72395', '73879', '74167']
l'UMT	['67388', '68885', '68885']
Poligny.	['67388', '68885']
L'INRA	['67388']
continuer	['67388', '67553', '70420', '72631', '73437', '73437', '76511']
dosage	['67388', '67801']
immunochimique	['67388']
détecter	['67388', '67941', '67942', '69183', '69183', '69183', '69811', '70421', '70425', '70425', '70425', '70425', '70425', '70919', '71614', '71838', '72118', '73186', '73688', '73877', '73880', '74746', '75460', '75460', '75460', '75465', '75793', '76207']
quantifier	['67388', '75463']
chymosine	['67388']
bovin	['67388']
présent	['67388', '67795', '67798', '67941', '68273', '68273', '68274', '68279', '68387', '68390', '68638', '68643', '68881', '68884', '68885', '68885', '68885', '68886', '68887', '69177', '69182', '69183', '69184', '69534', '69537', '69541', '69542', '70162', '70167', '70169', '70421', '70422', '70422', '70423', '71357', '71366', '71836', '71837', '71843', '72117', '72629', '72631', '72634', '72635', '72636', '73182', '73183', '73187', '73432', '73683', '73683', '73687', '73878', '73879', '73882', '73884', '74167', '74167', '74167', '74173', '74744', '75065', '75066', '75067', '75458', '75462', '75792', '75792', '76209', '76209', '76210', '76210', '76213']
fromages.	['67388', '67388']
Actilait	['67388', '68885', '68885', '68885', '68885']
l'ISBA	['67388']
l'INRA	['67388', '67794', '67799', '67800', '68384', '68384', '68882', '68882', '68885', '69182', '69182', '69812', '69812', '70420', '70420', '71357', '71357', '71837', '71837', '71837', '73690', '75069']
l'analyse	['67388', '67795', '68881', '68881', '68881', '68886', '70420', '70919', '71845', '71845', '72637', '73683', '73685', '73685', '73685', '73685', '73685', '74171', '74173', '74452', '75067', '75788', '76516', '76516']
l'impact	['67388', '67388', '67794', '68645', '68645', '68645', '69816', '71845', '73882', '74171', '74745', '74746', '75463', '75463']
propriété	['67388', '67389', '67389', '67389', '67389', '67389', '67390', '67390', '67558', '67558', '67802', '67939', '68390', '68390', '68644', '69186', '69186', '69186', '69186', '69537', '69539', '70163', '70167', '70421', '70424', '70746', '71612', '71614', '71616', '71840', '71843', '71843', '71843', '72634', '73436', '73878', '74750', '74751', '75070', '75790', '76511']
fromager	['67388', '67388', '68885', '68885', '68885']
spécifique	['67388', '67553', '67554', '67555', '67556', '67556', '67798', '67802', '68387', '68387', '68882', '68885', '69183', '69183', '69813', '69816', '70162', '70420', '70424', '70425', '71359', '71619', '72116', '72398', '72399', '72399', '72630', '72631', '73432', '73876', '74168', '74171', '74450', '75065', '75069', '75792', '76209', '76213', '76508']
réflexion	['67388', '68383', '68638', '68642', '68882', '68882', '69179', '69813', '72113', '72637', '72932', '72932', '73182', '73182', '73182', '73182', '73876', '73876', '74752', '74752', '75462', '76209', '76213']
traditionnel	['67388', '67557', '73683', '74748']
recuite	['67388']
final	['67388', '68645', '70162', '70162', '70166', '70428', '70428', '72393', '74449', '76210']
dérouler	['67388', '67943', '67944', '68274', '68387', '68888', '69177', '69177', '69185', '69539', '69541', '69543', '70162', '70162', '71835', '71837', '72932', '72933', '72937', '73877', '74168', '74452', '75064', '75465', '75466', '75796', '75797']
sou	['67388', '67553', '67554', '67554', '67555', '67558', '67558', '67796', '67798', '67802', '67939', '67939', '67939', '67939', '68273', '68273', '68274', '68274', '68274', '68277', '68279', '68280', '68383', '68638', '68639', '68643', '68644', '68881', '68883', '68884', '68884', '68884', '68885', '68885', '69181', '69539', '69540', '69815', '70163', '70165', '70167', '70425', '70916', '70918', '70920', '71358', '71612', '71619', '72113', '72113', '72114', '72115', '72121', '72635', '72932', '72939', '73182', '73190', '73683', '73684', '73684', '73684', '73686', '73686', '73884', '74173', '74175', '74176', '74455', '74456', '74746', '74752', '75067', '75067', '75067', '75068', '75068', '75457', '75457', '75462', '75465', '75788', '75788', '76210', '76210', '76210', '76210', '76511', '76511', '76512', '76515']
l'oeil	['67388', '68641', '68643', '70744', '70744', '70744', '70744', '74171']
attentif	['67388']
profession,	['67388']
importants.	['67388', '67801']
fonctionnalité	['67388', '67554', '67797', '76514']
garantie.	['67388']
insoupçonné	['67388']
parfois,	['67388']
imput	['67388']
présure.	['67388']
dit,	['67388', '67391', '67558', '67795', '67937', '67938', '67939', '67939', '67942', '68388', '68643', '68643', '69533', '69535', '69539', '70161', '70421', '70421', '70743', '72392', '72632', '73182', '73183', '73185', '73876', '74168', '74168', '74449', '75065', '75070', '75457', '75463', '75789', '75792', '75794', '76213', '76508', '76511']
infime	['67388', '70161']
élément	['67388', '67558', '67937', '68388', '69178', '69179', '69533', '69819', '70161', '70421', '71621', '72114', '72629', '72635', '73432', '73438', '73875', '74168', '74168', '74168', '74451', '75792', '76210']
modifier	['67388', '67556', '67800', '68887', '69184', '69539', '69811', '70167', '70425', '70917', '72116', '72632', '72933', '73182', '73430', '75459', '75790', '76213']
final",	['67388', '70162']
terme,	['67388', '67390', '67391', '68273', '68277', '68638', '68881', '68883', '68887', '69178', '69183', '69813', '70165', '70420', '70744', '70747', '70918', '71358', '71842', '73184', '73186', '73683', '73683', '73684', '74173', '75068', '75788', '76213', '76509', '76511']
recommandation	['67388', '68383', '68645', '69541', '72393']
terme	['67388', '67553', '67554', '67794', '68274', '68280', '68383', '68383', '68383', '68390', '68638', '68882', '68883', '68884', '68886', '69178', '69533', '69535', '69535', '69538', '69814', '69819', '70161', '70421', '70745', '70753', '70915', '70916', '71358', '71361', '71361', '71361', '71366', '71835', '71835', '71843', '72114', '72116', '72395', '72395', '72629', '72634', '72937', '73184', '73187', '73188', '73430', '73432', '73876', '73876', '74167', '74170', '74451', '74454', '74455', '74455', '74744', '74744', '75063', '75064', '75067', '75069', '75069', '75069', '75458', '75461', '75789', '75789', '75792', '75793', '75794', '75794', '75794', '76209', '76213', '76509']
destiner	['67388', '67553', '67796', '67941', '67943', '68384', '69179', '69818', '70165', '70420', '70753', '70920', '71619', '72935', '73186', '73190', '73435', '73877', '73879', '74450', '74455', '74455', '74745', '75064', '75065', '76511', '76512']
fournisseur	['67388', '67796', '74169', '74169', '75796']
présures.	['67388']
(1)L'UMT	['67388']
regrouper	['67388', '67388', '67553', '67553', '67553', '67938', '67939', '67939', '68275', '68279', '68385', '68638', '68639', '68642', '68885', '68885', '70914', '71359', '71361', '71615', '71837', '71842', '73184', '73187', '73434', '73687', '73877', '74168', '74171', '74746', '74746', '74747', '75065', '75068', '75796']
complémentaire	['67388', '67553', '67939', '67944', '68644', '68644', '71358', '71618', '71836', '73884', '75789', '75789', '76212']
filière	['67388', '67554', '67938', '67942', '68273', '68273', '68275', '68885', '69818', '70161', '70161', '70745', '70745', '71357', '71357', '71357', '71357', '71357', '71357', '71358', '71363', '71619', '71845', '72392', '72392', '72392', '72392', '72392', '72637', '72637', '73433', '73433', '73434', '73434', '73687', '73689', '73690', '73690', '73884', '74169', '74169', '74174', '74174', '74450', '74457', '74457', '74746', '74746', '74746', '74746', '74746', '75064', '75065', '75067', '75071', '75071', '75457', '75457', '75457', '75457', '75457', '75464', '75466', '75789', '75789', '75797', '75797', '76512']
l'INRA-URTAL	['67388']
(Unité	['67388', '67801']
Analyses	['67388', '75793']
Laitières)	['67388']
Poligny,	['67388', '68885']
Sciences,	['67388', '67937', '72113']
biotechnologie	['67388', '67946', '67946', '68277', '68384', '68384', '68384', '68384', '68384', '70168', '73190', '73433', '75071']
l'Agroalimentaire	['67388', '71837']
(ISBA)	['67388']
2	['67388', '67555', '67794', '67939', '67940', '68273', '68276', '68276', '68279', '68392', '69177', '69177', '69177', '69177', '69182', '69186', '69540', '69542', '69812', '69812', '69813', '69815', '69817', '71357', '71360', '71836', '71836', '72119', '72120', '72393', '72398', '72633', '73437', '73687', '73877', '74175', '74450', '74450', '74450', '74746', '74751', '75066', '75458', '75796', '76512']
enil	['67388']
Franche-Comté	['67388', '67795', '68279', '68885', '68885', '68885', '70745', '72116']
(Poligny	['67388']
Mamirolle),	['67388']
lait	['67388', '67555', '68885', '68885', '68885', '76511']
laitier	['67388', '68273', '68885', '68885', '68885', '68885', '68885', '68885', '72634']
(Actilait).	['67388']
neurone	['67389', '67389', '67389', '67389', '67801', '68388', '68388', '68388', '70425', '73879', '74173']
particulier	['67389', '67389', '67558', '70745', '72113', '72116', '74168', '75065', '75065', '75457']
impliquer	['67389', '67389', '67390', '67555', '67556', '67556', '67557', '67939', '67939', '67939', '67945', '68279', '68387', '68390', '68638', '68642', '68645', '68885', '69181', '69533', '69534', '69539', '69812', '69814', '70161', '70420', '70420', '70420', '70424', '70745', '71357', '71358', '71358', '71359', '71359', '71359', '71835', '72114', '72116', '72392', '72631', '72937', '73184', '73184', '73186', '73434', '73683', '73880', '74168', '74172', '74174', '74450', '74455', '74455', '74746', '74749', '75069', '75459', '75792', '75792', '75793', '76207', '76213', '76507', '76511', '76511', '76511', '76511', '76512']
l'apprentissage	['67389', '70164', '71358', '73876', '76206']
cartographie	['67389', '67389', '67944', '69537', '69537', '69811', '69813', '70424', '70424', '71836', '72392', '72392', '72392', '72629', '73186', '75788', '75789']
lieux	['67389', '68279', '69820', '70420', '71366', '73876', '73876']
individu,	['67389']
survivre	['67389']
obligatoirement	['67389', '74167', '76507']
localiser	['67389', '68646', '69539', '70165', '70743', '70919', '71616', '72116', '72938', '74455', '75459', '76507', '76510']
permanence	['67389', '74745', '75458', '76508']
environnement.	['67389', '67389', '73879', '75064']
comment	['67389', '67555', '67803', '67937', '67937', '67937', '67938', '67938', '67939', '68638', '68884', '69534', '69534', '69538', '69539', '70163', '70420', '70421', '70922', '72392', '72392', '72392', '72631', '72932', '73183', '73876', '73876', '74168', '74175', '74175', '74176', '74457', '74744', '74752', '75465', '76209']
cerveau	['67389', '67389', '67802', '68388', '68646', '68887', '69539', '70744', '73184', '73189', '73879', '74171', '74453', '74752']
mémoriser	['67389', '67389', '76509']
évoluer	['67389', '67553', '67939', '68275', '70161', '70161', '70163', '70423', '71366', '72631', '74454', '76209', '76213', '76213']
s'orienter	['67389', '74450']
question	['67389', '67553', '67794', '67794', '67939', '68275', '68383', '68638', '68642', '68642', '68642', '68643', '68643', '68882', '69533', '69821', '70161', '70163', '70421', '70749', '71363', '71835', '71837', '72398', '72398', '72630', '72932', '72938', '72938', '72940', '73182', '73182', '73182', '73188', '73877', '74457', '74749', '74752', '74752', '75463', '75792', '75792', '75793', '76209', '76508']
Jérôme	['67389', '67389', '67389', '67389', '74746']
Epsztein,	['67389']
Inserm	['67389', '67801', '67801', '67802', '74451']
901	['67389']
"Institut	['67389', '67556', '68388']
neurobiologie	['67389', '68277']
Méditerranée",	['67389']
collaborateurs,	['67389', '67389', '76212']
michael	['67389', '68881', '68881', '69819', '74450', '74450', '74450']
Brecht	['67389']
l'Université	['67389', '67561', '67799', '67937', '67940', '67944', '67944', '67944', '67944', '67945', '68275', '68276', '68277', '68384', '68389', '68389', '68392', '68392', '68392', '68392', '68883', '68884', '68884', '68888', '68888', '69179', '69179', '69180', '69180', '69536', '69536', '69540', '69812', '69814', '69816', '69816', '70166', '70748', '70748', '70748', '70748', '70920', '70920', '71361', '71361', '71361', '71361', '71361', '71362', '71362', '71362', '71616', '71621', '72117', '72119', '72394', '72394', '72932', '72932', '72932', '72932', '72932', '73184', '73184', '73184', '73185', '73188', '73430', '73431', '73683', '73683', '73683', '73685', '73689', '73877', '73878', '73879', '73881', '73881', '73881', '73881', '74175', '74175', '74175', '74752', '74752', '74752', '75067', '75464', '76206', '76206', '76206', '76212', '76509', '76509', '76511']
Humboldt	['67389']
Berlin	['67389', '73186']
Albert	['67389', '72932', '73183', '73183']
Lee	['67389']
Médical	['67389']
Howard	['67389']
Hugues	['67389']
Virginie,	['67389']
tenter	['67389', '67553', '67802', '68383', '70423', '71612', '71837', '72397', '73182', '75463']
d'apporter	['67389', '67801', '67939', '68383', '70422', '71358', '73882', '73884', '76507']
réponses.	['67389', '76209']
40	['67389', '67391', '67794', '67794', '67794', '71361', '71362', '72115', '72633', '72933', '73430', '73688', '73875', '75069', '76515']
"de	['67389', '67389', '72113', '75792']
lieu"	['67389', '67389', '67389', '67389', '67389']
découverte	['67389', '67556', '68390', '68887', '68887', '70424', '70424', '70424', '70751', '71612', '71837', '71843', '72117', '72632', '73683', '73683', '74453', '74750', '75071', '75788', '76515']
chez	['67389', '67389', '67391', '67555', '67555', '67796', '67799', '67800', '67802', '67937', '67937', '67937', '67937', '68383', '68387', '68387', '68387', '68387', '68388', '68645', '68646', '68646', '68646', '68646', '68881', '68887', '68887', '69184', '69184', '69815', '70162', '70162', '70164', '70420', '70749', '70749', '70918', '71357', '71359', '71614', '71614', '71837', '71841', '71841', '71843', '71843', '72118', '72631', '72631', '72631', '72632', '72634', '72636', '72935', '73184', '73686', '73879', '74167', '74167', '74173', '74173', '74449', '74449', '74451', '74454', '74454', '74455', '74749', '75065', '75065', '75065', '75065', '75069', '75069', '75457', '75789', '75793', '76508', '76511', '76511', '76511', '76511', '76511']
l'animal.	['67389']
localisé	['67389']
l'hippocampe,	['67389']
activer	['67389', '68274', '72934']
lorsque	['67389', '67937', '67937', '68274', '69178', '73188', '75070']
l'animal	['67389', '67389', '67389', '71357', '71357']
lieu	['67389', '67945', '68642', '68881', '69179', '70917', '71358', '71621', '72113', '72932', '72932', '73684', '73876', '73876', '73876', '74450', '74752', '75795', '76510']
donner	['67389', '67389', '67390', '67553', '67555', '67939', '68638', '68881', '68882', '69177', '69183', '69183', '69540', '70424', '71619', '71621', '71621', '72394', '72630', '72936', '72937', '73182', '73875', '73884', '74168', '74747', '75457', '75790', '75793', '75796']
nom.	['67389']
Reste	['67389', '67389', '67554', '68391', '68643', '69182', '69184', '69813', '70167', '72115', '72634', '72636', '73187', '73436', '73683', '74167', '74450', '75794', '76209', '76210', '76213']
